stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
6402,2019,58265,63.95,24,37276,48.86,10,4.08
6403,2577,15332,41.54,1,6369,41.54,1,13.4
6404,9036,24358,67.09,5,16343,63.48,4,9.82
6405,6192,65800,54.06,23,35580,38.4,9,15.79
6406,1073,35647,58.18,5,20744,53.35,2,8.78
6407,6512,75130,36.0,17,27054,28.16,8,19.85
6409,17503,87704,62.84,39,55128,46.25,16,11.87
6411,56462,99501,35.55,34,35383,20.79,10,28.85
6412,22045,400769,80.72,54,323564,76.73,29,8.7
6414,16795,149010,65.39,54,97464,53.43,23,11.97
6415,25337,389072,78.92,159,307126,65.15,67,4.93
6416,22512,73348,46.58,17,34180,35.36,4,19.89
6417,1540,42274,67.99,20,28754,52.18,10,4.66
6418,2586,34522,57.36,11,19807,51.39,7,14.67
6419,28087,13159,35.59,3,4685,32.17,2,32.95
6423,3287,31016,39.91,12,12385,21.88,4,15.89
6425,10005,51479,42.65,14,21963,34.03,7,32.0
6426,19855,38509,40.56,6,15624,34.93,3,30.34
6428,1027,17682,91.64,3,16205,89.36,2,3.65
6429,270,9348,37.74,5,3530,11.76,1,6.76
6431,17805,97399,70.15,19,68342,65.31,11,4.47
6432,34344,37301,37.04,13,13827,17.78,3,27.59
6434,9746,463602,84.97,21,394005,83.61,11,5.14
6435,6451,37461,57.87,8,21686,48.33,2,19.19
6437,403,32300,65.0,19,21003,40.87,7,3.09
6438,46993,82206,32.1,19,26406,24.28,10,36.84
6441,34903,53318,45.26,6,24138,41.86,2,24.34
6442,63509,80390,58.98,38,47431,38.16,12,19.78
